orden_key,supplier_key,id,item_key,date_key,qty,net_rate,base_net_amount
,,4b7dfff12a,207,2023-01-27,4,10020.16,2505.04
,,b6190cc11e,5,2023-01-27,10,17403.1,1740.31
PUR-ORD-2023-00957,ILLINOIS0001,455bed6ac6,73,2023-01-25,10,7141.5,714.15
,,b13631ad94,74,2023-01-25,10,5678.1,567.81
,,ebc6f9ef2c,198,2023-01-25,15,8455.5,563.7
,,4db5ba9c23,76,2023-01-25,15,7499.4,499.96
,,9c8a8fcd7b,200,2023-01-25,12,5543.04,461.92
PUR-ORD-2023-00956,PROSE0001,b2405f6174,9,2023-01-23,10,7387.1,738.71
,,bc172c940e,119,2023-01-23,10,6682.4,668.24
,,74db0e8f2a,136,2023-01-23,10,6519.2,651.92
,,699fc67206,73,2023-01-23,10,7141.5,714.15
PUR-ORD-2023-00955,INTERNAT0001,4823737b0d,160,2023-01-19,5,7701.75,1540.35
,,ea7fa91b79,211,2023-01-19,9,7821.27,869.03
,,31d0075655,210,2023-01-19,10,8558.2,855.82
PUR-ORD-2023-00954,ADATUM0001,1ba2dbb31d,132,2023-01-17,8,3852.48,481.56
,,5cef22cf67,47,2023-01-17,4,8406.36,2101.59
,,974e20deb9,80,2023-01-17,9,3597.93,399.77
,,d02caa2648,2,2023-01-17,4,8577.6,2144.4
PUR-ORD-2023-00953,ADATUM0001,9fc1262542,163,2022-03-17,9,15362.55,1706.95
,,3c5f71f8aa,241,2022-03-17,5,7678.1,1535.62
,,14e66aeb73,242,2022-03-17,6,9119.1,1519.85
PUR-ORD-2023-00952,INTERNAT0001,faff3c4a1e,102,2022-03-05,6,10342.98,1723.83
,,11f78c0b3b,159,2022-03-05,9,13493.34,1499.26
,,7c3d8dc675,160,2022-03-05,3,4621.05,1540.35
PUR-ORD-2023-00951,ILLINOIS0001,5d7e7f57e0,91,2022-05-13,4,7174.12,1793.53
,,9a7e12f696,98,2022-05-13,8,14251.76,1781.47
,,722a37f296,102,2022-05-13,7,12066.81,1723.83
PUR-ORD-2023-00950,BUSINESS0001,c71fb1b00f,2,2022-10-20,3,6433.2,2144.4
,,b190b1e84d,46,2022-10-20,9,17326.17,1925.13
,,35337f4885,47,2022-10-20,5,10507.95,2101.59
PUR-ORD-2023-00949,ELECTRON0002,836c18d6fd,72,2022-11-06,9,3797.1,421.9
,,c854ab90e8,80,2022-11-06,5,1998.85,399.77
,,6418abbee6,132,2022-11-06,6,2889.36,481.56
PUR-ORD-2023-00948,PROSE0001,2856c9587f,159,2022-05-22,4,5997.04,1499.26
,,3ab912bb0c,160,2022-05-22,8,12322.8,1540.35
,,98cbac29d7,163,2022-05-22,7,11948.65,1706.95
PUR-ORD-2023-00947,ANDERSON0001,ceebeaaa93,47,2022-12-05,6,12609.54,2101.59
,,ca58466f8b,91,2022-12-05,9,16141.77,1793.53
,,2c74f7bfa7,98,2022-12-05,3,5344.41,1781.47
PUR-ORD-2023-00946,ELECTRON0001,b97351f5b7,245,2022-11-19,4,4948.16,1237.04
,,6c1c33bacd,161,2022-11-19,8,10750.72,1343.84
,,d743331ac8,184,2022-11-19,7,4948.93,706.99
PUR-ORD-2023-00945,ELECTRON0002,13fc796756,11,2022-09-08,3,4806.63,1602.21
,,9e91d582e6,245,2022-09-08,9,11133.36,1237.04
,,38eb68d32b,161,2022-09-08,5,6719.2,1343.84
PUR-ORD-2023-00944,INTEGRAT0001,a1926ead51,110,2022-08-11,4,11142.2,2785.55
,,7aa280d58a,123,2022-08-11,8,21024.48,2628.06
,,a84b431b26,142,2022-08-11,7,17383.66,2483.38
PUR-ORD-2023-00943,LITWARE0001,1d08ee3e42,160,2022-06-12,6,9242.1,1540.35
,,9bd55e5741,163,2022-06-12,9,15362.55,1706.95
,,3.649007E+079,241,2022-06-12,3,4606.86,1535.62
PUR-ORD-2023-00942,LITWARE0001,3081434bb3,98,2022-11-04,6,10688.82,1781.47
,,2fa9c75961,102,2022-11-04,9,15514.47,1723.83
,,ce83bed652,159,2022-11-04,3,4497.78,1499.26
PUR-ORD-2023-00941,ILLINOIS0001,c79162b781,163,2022-09-08,4,6827.8,1706.95
,,0ebba1a79a,241,2022-09-08,8,12284.96,1535.62
,,c75a7bb220,242,2022-09-08,7,10638.95,1519.85
PUR-ORD-2023-00940,INTERNAT0001,d0db19e976,98,2022-04-22,4,7125.88,1781.47
,,4a2d187df4,102,2022-04-22,8,13790.64,1723.83
,,71e69f3e6b,159,2022-04-22,7,10494.82,1499.26
PUR-ORD-2023-00939,INTERNAT0001,11726ee355,243,2022-04-10,4,4902.36,1225.59
,,7f716f230d,19,2022-04-10,8,11836.48,1479.56
,,c0d413507c,212,2022-04-10,7,9555.91,1365.13
PUR-ORD-2023-00938,ANDERSON0001,d15bc1e054,98,2022-11-17,4,7125.88,1781.47
,,020637bb3e,102,2022-11-17,8,13790.64,1723.83
,,703ce9e2b0,159,2022-11-17,7,10494.82,1499.26
PUR-ORD-2023-00937,ILLINOIS0001,a40a92a5e8,131,2022-09-02,3,671.97,223.99
,,45e294a5e9,139,2022-09-02,12,648.36,54.03
,,cac2f6e60c,229,2022-09-02,15,4263.45,284.23
,,6dcaafc836,230,2022-09-02,13,1472.77,113.29
PUR-ORD-2023-00936,ELECTRON0001,dbcf49e88a,23,2022-08-18,4,290.16,72.54
,,0bbc405e61,33,2022-08-18,8,302.24,37.78
,,71471739c1,44,2022-08-18,7,295.26,42.18
PUR-ORD-2023-00935,ELECTRON0001,6c77d880e4,104,2022-06-16,60,3666,61.1
,,498b3aee09,135,2022-06-16,55,5113.9,92.98
,,2d93b4277a,284,2022-06-16,22,893.86,40.63
,,cfb3f66b05,285,2022-06-16,15,3903.45,260.23
PUR-ORD-2023-00934,ANDERSON0001,4d2dddf3ae,126,2022-05-17,9,4598.37,510.93
,,71adebaf8f,101,2022-05-17,3,1415.34,471.78
,,ccdca7934b,24,2022-05-17,12,575.16,47.93
PUR-ORD-2023-00933,PROSE0001,9d141509fc,29,2022-04-12,12,6860.4,571.7
,,6967ff8ae5,138,2022-04-12,15,7486.35,499.09
,,1fa1fc1749,30,2022-04-12,13,5883.02,452.54
PUR-ORD-2023-00932,ILLINOIS0001,35b8411ce4,203,2022-10-20,3,1670.52,556.84
,,c3db105084,79,2022-10-20,12,6451.56,537.63
,,1253d6687e,201,2022-10-20,15,8504.7,566.98
,,ae16d28800,205,2022-10-20,13,6595.16,507.32
PUR-ORD-2023-00931,INTEGRAT0001,b1b94fefb4,78,2022-02-05,3,1553.34,517.78
,,5ec9271cba,204,2022-02-05,12,6559.68,546.64
,,00547d2cad,7,2022-02-05,15,9036,602.4
,,6cc0a3df88,278,2022-02-05,13,7098.65,546.05
PUR-ORD-2023-00930,ANDERSON0001,878118bb58,14,2022-04-19,3,1900.95,633.65
,,d15f0a63cd,115,2022-04-19,12,6788.76,565.73
,,f1d7c30f23,17,2022-04-19,15,8931.3,595.42
,,ff4e09f886,117,2022-04-19,13,8029.06,617.62
PUR-ORD-2023-00929,PROSE0001,9903f82ae4,204,2022-03-08,12,6559.68,546.64
,,3aedbeda04,7,2022-03-08,15,9036,602.4
,,c17cb3bd7c,278,2022-03-08,13,7098.65,546.05
PUR-ORD-2023-00928,ILLINOIS0001,174a98fe72,134,2023-02-01,13,3280.03,252.31
,,ec1589fda8,140,2023-02-01,11,2639.45,239.95
,,58d9cf3a73,144,2023-02-01,10,2196.9,219.69
,,fa2ae75d98,145,2023-02-01,15,3871.5,258.1
PUR-ORD-2023-00927,INTERNAT0001,bbb4db25d0,147,2019-06-17,15,3609.3,240.62
,,7af4eadab6,148,2019-06-17,13,2764.97,212.69
,,ec9c4ec838,149,2019-06-17,11,2357.96,214.36
PUR-ORD-2023-00926,INTEGRAT0001,de6c3bc5a6,140,2019-09-14,6,1439.7,239.95
,,42b857eb76,144,2019-09-14,9,1977.21,219.69
,,07d4cfd714,145,2019-09-14,3,774.3,258.1
,,52ea378b44,146,2019-09-14,12,2811.12,234.26
,,48b2a0cf1e,147,2019-09-14,15,3609.3,240.62
PUR-ORD-2023-00925,PROSE0001,566b4a362e,40,2019-04-03,6,1472.4,245.4
,,fbb5d6fac9,41,2019-04-03,9,2084.22,231.58
,,e3d0b19148,42,2019-04-03,3,787.2,262.4
,,568943647e,43,2019-04-03,12,3193.8,266.15
,,3c4f61399d,134,2019-04-03,15,3784.65,252.31
PUR-ORD-2023-00924,INTEGRAT0001,7a822b4cda,287,2019-08-16,6,1543.38,257.23
,,4638ef3dce,288,2019-08-16,9,2302.74,255.86
,,2183653cc4,227,2019-08-16,3,653.49,217.83
,,a18bdbf7c7,39,2019-08-16,12,2705.64,225.47
PUR-ORD-2023-00923,ANDERSON0001,67b93b4bc0,173,2019-05-02,3,793.05,264.35
,,cb6f0bf35c,247,2019-05-02,12,2893.8,241.15
,,e2ca637836,251,2019-05-02,15,3582,238.8
,,26d522ba15,287,2019-05-02,13,3343.99,257.23
PUR-ORD-2023-00922,BUSINESS0001,9de561bc42,34,2019-11-24,3,1082.16,360.72
,,b958de9945,217,2019-11-24,12,4074.6,339.55
,,f01a261cc8,157,2019-11-24,15,5086.8,339.12
,,bc6080253a,4,2019-11-24,13,3761.29,289.33
PUR-ORD-2023-00921,INTERNAT0001,d001f3165c,32,2019-08-23,3,1141.65,380.55
,,3ebc8f69ca,31,2019-08-23,12,4622.88,385.24
,,2fb6fd083f,84,2019-08-23,15,4985.7,332.38
,,4aa6af2024,141,2019-08-23,13,4131.53,317.81
PUR-ORD-2023-00920,INTEGRAT0001,65b81057d8,193,2019-02-10,3,1512.42,504.14
,,eca0ef4b89,271,2019-02-10,12,4980,415
,,80a93aa505,274,2019-02-10,15,5471.85,364.79
,,b5883189dc,188,2019-02-10,13,5575.57,428.89
PUR-ORD-2023-00919,ELECTRON0001,3894c9aa1d,189,2019-05-25,12,6984.24,582.02
,,ad42ea58cf,191,2019-05-25,15,7213.35,480.89
,,794d58326f,63,2019-05-25,13,5967,459
PUR-ORD-2023-00918,LITWARE0001,e49d45b272,239,2019-05-08,8,4440.56,555.07
,,b0769adc06,190,2019-05-08,7,4650.03,664.29
,,6fe6358649,62,2019-05-08,6,3757.32,626.22
PUR-ORD-2023-00917,ILLINOIS0001,f7490ee5b6,88,2019-10-09,9,5699.61,633.29
,,21607f72dc,89,2019-10-09,3,1776.36,592.12
,,82d9641407,236,2019-10-09,12,6479.76,539.98
,,3940d757bb,237,2019-10-09,15,9079.5,605.3
,,f21d164a61,238,2019-10-09,13,6773.39,521.03
PUR-ORD-2023-00916,ANDERSON0001,426b360ec6,220,2019-08-14,3,1999.77,666.59
,,2496610d0a,221,2019-08-14,12,6420.36,535.03
,,e028c7aa5e,269,2019-08-14,15,8701.5,580.1
,,806ce313ff,87,2019-08-14,13,7811.96,600.92
PUR-ORD-2023-00915,ILLINOIS0001,36c88217a7,108,2019-07-14,9,6778.62,753.18
,,e41f46d949,12,2019-07-14,3,1788.15,596.05
,,59e91ba207,114,2019-07-14,12,6965.04,580.42
,,8ca09bcdab,103,2019-07-14,15,9953.1,663.54
PUR-ORD-2023-00914,LITWARE0001,2cee1ec137,11,2019-09-17,9,14419.89,1602.21
,,00963b2a32,245,2019-09-17,5,6185.2,1237.04
,,465362d42e,161,2019-09-17,6,8063.04,1343.84
,,4da49b9f9b,184,2019-09-17,4,2827.96,706.99
PUR-ORD-2023-00913,INTEGRAT0001,00e04407b7,200,2019-10-21,6,2771.52,461.92
,,8cbcaf2969,106,2019-10-21,1,545.19,545.19
,,dbf7dd4a3b,133,2019-10-21,5,20294.95,4058.99
,,8a08fe3997,207,2019-10-21,9,22545.36,2505.04
PUR-ORD-2023-00912,ADATUM0001,596319b995,207,2019-11-20,6,15030.24,2505.04
,,d318fe4091,110,2019-11-20,4,11142.2,2785.55
,,1cc9670e37,123,2019-11-20,8,21024.48,2628.06
PUR-ORD-2023-00911,INTEGRAT0001,ec903b00b7,200,2019-06-06,7,3233.44,461.92
,,77098e955a,106,2019-06-06,6,3271.14,545.19
,,9f24881538,133,2019-06-06,9,36530.91,4058.99
PUR-ORD-2023-00910,ELECTRON0002,31db59fa95,71,2019-03-23,13,6621.16,509.32
,,b9489c1952,199,2019-03-23,11,5818.45,528.95
,,ebc2b0ead1,76,2019-03-23,10,4999.6,499.96
PUR-ORD-2023-00909,BUSINESS0001,9faa39bae8,120,2019-04-26,9,6639.12,737.68
,,33138ae8b4,136,2019-04-26,3,1955.76,651.92
,,5d18bb2827,27,2019-04-26,12,6880.92,573.41
,,10e989fb2b,73,2019-04-26,15,10712.25,714.15
PUR-ORD-2023-00908,PROSE0001,50cad610b3,166,2020-02-08,9,10502.01,1166.89
,,35f0630c10,218,2022-02-08,3,3582.09,1194.03
,,99de05a0bd,211,2022-02-08,12,10428.36,869.03
PUR-ORD-2023-00907,BUSINESS0001,75bea77eae,242,2020-10-16,2,3039.7,1519.85
,,b649a77ef9,243,2020-10-16,3,3676.77,1225.59
,,506e03d68d,19,2020-10-16,9,13316.04,1479.56
,,e7ba4d9755,212,2020-10-16,5,6825.65,1365.13
PUR-ORD-2023-00906,ELECTRON0002,d3aba2bc17,211,2020-10-22,8,6952.24,869.03
,,236c30dd28,210,2020-10-22,7,5990.74,855.82
,,dad19c6373,54,2020-10-22,6,5487.12,914.52
,,799a48f2ee,214,2020-10-22,9,7790.31,865.59
PUR-ORD-2023-00905,ELECTRON0001,e07af491ad,19,2020-08-07,5,7397.8,1479.56
,,3c6c9221a0,212,2020-08-07,3,4095.39,1365.13
,,607a77ab95,166,2020-08-07,2,2333.78,1166.89
PUR-ORD-2023-00904,INTERNAT0001,36f41b334b,160,2020-07-12,6,9242.1,1540.35
,,db639c79b4,163,2020-07-12,3,5120.85,1706.95
,,15b41f80b2,241,2020-07-12,5,7678.1,1535.62
,,eca455a5db,242,2020-07-12,8,12158.8,1519.85
PUR-ORD-2023-00903,PROSE0001,9cf9e3710a,211,2020-06-16,12,10428.36,869.03
,,aaeab46205,210,2020-06-16,8,6846.56,855.82
,,ee4263e9b3,54,2020-06-16,14,12803.28,914.52
PUR-ORD-2023-00902,ADATUM0001,2c389aef23,218,2022-03-20,9,10746.27,1194.03
,,5c63cb994b,211,2022-03-20,15,13035.45,869.03
,,d4bd907dc1,210,2022-03-20,12,10269.84,855.82
PUR-ORD-2023-00901,ADATUM0001,150593936f,212,2022-02-19,6,8190.78,1365.13
,,665214114,166,2022-02-19,7,8168.23,1166.89
,,d5175923d0,218,2022-02-19,3,3582.09,1194.03
PUR-ORD-2023-00900,ELECTRON0001,99f867a4dc,242,2022-11-13,9,13678.65,1519.85
,,1866acb060,243,2022-11-13,2,2451.18,1225.59
,,2efe9f07a9,19,2022-11-13,4,5918.24,1479.56
,,0516c3ac2d,212,2022-11-13,8,10921.04,1365.13
PUR-ORD-2023-00899,ANDERSON0001,54d7b3fc59,160,2022-09-07,5,7701.75,1540.35
,,8df0cef874,163,2022-09-07,2,3413.9,1706.95
,,5b5b1a0342,241,2022-09-07,6,9213.72,1535.62
PUR-ORD-2023-00898,BUSINESS0001,3124deeec6,102,2022-06-23,5,8619.15,1723.83
,,adfd62b8e5,159,2022-06-23,6,8995.56,1499.26
,,fb35e77fdc,160,2022-06-23,8,12322.8,1540.35
PUR-ORD-2023-00897,INTEGRAT0001,d91dcb4e11,47,2022-05-11,9,18914.31,2101.59
,,d3abeee9e8,91,2022-05-11,6,10761.18,1793.53
,,48e8ae3745,98,2022-05-11,4,7125.88,1781.47
PUR-ORD-2023-00896,LITWARE0001,c4c1b3ed09,2,2022-11-30,5,10722,2144.4
,,2d99bd9352,46,2022-11-30,2,3850.26,1925.13
,,017ced07da,47,2022-11-30,9,18914.31,2101.59
PUR-ORD-2023-00895,INTEGRAT0001,ad5ca4c4f8,80,2022-09-08,7,2798.39,399.77
,,e3fbe28b40,132,2022-09-08,4,1926.24,481.56
,,c900bdbb75,228,2022-09-08,5,14337.55,2867.51
PUR-ORD-2023-00894,INTEGRAT0001,b2a84171d0,8,2022-02-25,5,2677.35,535.47
,,0f2f602b77,124,2022-02-25,9,4078.26,453.14
,,7d24a2dac9,72,2022-02-25,3,1265.7,421.9
PUR-ORD-2023-00893,ANDERSON0001,c1e1ecd8a6,98,2020-07-09,5,8907.35,1781.47
,,99b2008891,102,2020-07-09,6,10342.98,1723.83
,,b55e56d55d,159,2020-07-09,10,14992.6,1499.26
PUR-ORD-2023-00892,PROSE0001,979c14fcfc,14,2021-06-19,12,7603.8,633.65
,,5c24aef67d,115,2022-06-19,15,8485.95,565.73
,,a9bc93fbef,17,2022-06-19,13,7740.46,595.42
PUR-ORD-2023-00891,ADATUM0001,d647763eb3,20,2021-07-03,6,3699.18,616.53
,,8e35c71356,109,2021-07-03,9,5267.34,585.26
,,7df585e4a6,13,2021-07-03,15,9279.45,618.63
PUR-ORD-2023-00890,INTEGRAT0001,f8d1d291ef,272,2019-02-19,12,10008.72,834.06
,,b0e7376430,195,2019-02-19,15,12540.45,836.03
,,e1d82ad24e,67,2019-02-19,13,9215.83,708.91
,,1b2339d424,18,2019-02-19,11,6644.44,604.04
PUR-ORD-2023-00889,BUSINESS0001,1983666ec7,38,2019-02-11,9,9175.59,1019.51
,,ba987ff657,276,2019-02-11,3,2602.56,867.52
,,2506bfa1d6,196,2019-02-11,12,9862.92,821.91
PUR-ORD-2023-00888,BUSINESS0001,ac9b403c7a,279,2021-03-18,9,10258.83,1139.87
,,86b5500054,35,2021-03-18,5,5658.4,1131.68
,,68b77bc298,36,2021-03-18,3,2738.94,912.98
PUR-ORD-2023-00887,ILLINOIS0001,1bb431229b,152,2021-06-14,15,3412.2,227.48
,,09721ae310,56,2021-06-14,55,837.65,15.23
,,21f03151a6,57,2021-06-14,60,3480.6,58.01
PUR-ORD-2023-00886,ILLINOIS0001,3ff4692ecf,149,2021-10-20,12,2572.32,214.36
,,eada0e5585,150,2021-09-20,15,3358.8,223.92
,,205c44485d,151,2021-09-20,13,2692.04,207.08
PUR-ORD-2023-00885,PROSE0001,8f1e6a4c79,144,2021-10-21,15,3295.35,219.69
,,0088467a90,145,2021-10-21,13,3355.3,258.1
,,03241d6115,146,2021-10-21,11,2576.86,234.26
PUR-ORD-2023-00884,ILLINOIS0001,311dc5533a,43,2021-09-16,7,1863.05,266.15
,,8bf8596ad9,134,2021-09-16,6,1513.86,252.31
,,04023a6324,140,2021-09-16,9,2159.55,239.95
,,db38a52093,144,2021-09-16,3,659.07,219.69
PUR-ORD-2023-00883,ELECTRON0001,23342cf65f,39,2021-12-25,6,1352.82,225.47
,,5be2d59af2,40,2021-12-25,5,1227,245.4
,,bc7c9eb9d6,41,2021-12-25,15,3473.7,231.58
,,bc83a2da96,42,2021-12-25,12,3148.8,262.4
PUR-ORD-2023-00882,ELECTRON0001,99f18034d9,251,2021-05-12,15,3582,238.8
,,e3756d86e9,287,2021-05-12,13,3343.99,257.23
,,d5200c8ddf,288,2021-05-12,11,2814.46,255.86
PUR-ORD-2023-00881,ELECTRON0001,1e474f746a,157,2020-09-05,6,2034.72,339.12
,,5b7b451b90,4,2020-09-05,4,1157.32,289.33
,,62bc43aa56,172,2020-09-05,8,2470.72,308.84
,,8225aed781,173,2020-09-05,7,1850.45,264.35
PUR-ORD-2023-00880,ANDERSON0001,c7746e5b71,32,2019-06-17,7,2663.85,380.55
,,c22d313423,31,2019-06-17,6,2311.44,385.24
,,578288226e,84,2019-06-17,9,2991.42,332.38
,,49b8541143,141,2019-06-17,3,953.43,317.81
,,5fb3c4e757,34,2019-06-17,12,4328.64,360.72
PUR-ORD-2023-00879,INTERNAT0001,0d9318da66,3,2019-08-02,13,7455.63,573.51
,,8f508a2d6d,174,2019-08-02,11,7872.92,715.72
,,c9b06fde36,175,2019-08-02,10,6820.9,682.09
,,ac22718186,270,2019-08-02,7,3861.34,551.62
PUR-ORD-2023-00878,INTERNAT0001,f9f3ba2c56,108,2019-12-13,3,2259.54,753.18
,,167282d543,12,2019-12-13,12,7152.6,596.05
,,14e1e3f6a0,114,2019-12-13,15,8706.3,580.42
,,01954fba7e,103,2019-12-13,13,8626.02,663.54
PUR-ORD-2023-00877,INTERNAT0001,91be08ba70,216,2019-03-03,9,6686.46,742.94
,,438a0b6216,6,2019-03-03,3,2107.05,702.35
,,f02ae1c32a,108,2019-03-03,12,9038.16,753.18
PUR-ORD-2023-00876,ILLINOIS0001,8321365642,184,2019-10-19,4,2827.96,706.99
,,3a2cc5b806,182,2019-10-19,8,6392.4,799.05
,,3331bb8132,185,2019-10-19,7,4818.45,688.35
PUR-ORD-2023-00875,BUSINESS0001,3c3663bdd5,133,2019-02-02,3,12176.97,4058.99
,,3a6ab064fb,207,2019-02-02,9,22545.36,2505.04
,,8e2a323e22,110,2019-02-02,5,13927.75,2785.55
PUR-ORD-2023-00874,ADATUM0001,695f16165a,200,2022-06-30,3,1385.76,461.92
,,aa859a0ded,106,2022-06-30,9,4906.71,545.19
,,bbbc41966c,133,2022-06-30,5,20294.95,4058.99
PUR-ORD-2023-00873,ANDERSON0001,ae7f8d8c69,71,2022-05-13,3,1527.96,509.32
,,a68ebe116a,199,2022-05-13,9,4760.55,528.95
,,de3c311520,76,2022-05-13,5,2499.8,499.96
PUR-ORD-2023-00872,ELECTRON0002,dbb68b8400,120,2022-10-12,6,4426.08,737.68
,,beb3558301,136,2022-10-12,4,2607.68,651.92
,,4849d3a2b3,27,2022-10-12,3,1720.23,573.41
PUR-ORD-2023-00871,ELECTRON0001,2d2bb13fb3,19,2022-07-10,7,10356.92,1479.56
,,78bffc799f,212,2022-07-10,6,8190.78,1365.13
,,b6ed103728,166,2022-07-10,9,10502.01,1166.89
,,d699204b2b,218,2022-07-10,3,3582.09,1194.03
PUR-ORD-2023-00870,ILLINOIS0001,522623c656,218,2022-10-14,3,3582.09,1194.03
,,f4e9445444,211,2022-10-14,9,7821.27,869.03
,,f23c4beb36,210,2022-10-14,5,4279.1,855.82
,,e3948be6f0,54,2022-10-14,6,5487.12,914.52
PUR-ORD-2023-00869,ANDERSON0001,22532b6e61,242,2022-05-22,8,12158.8,1519.85
,,93e6fe5fd5,243,2022-05-07,4,4902.36,1225.59
,,6b0031e127,19,2022-05-07,2,2959.12,1479.56
PUR-ORD-2023-00868,ELECTRON0001,d17b207b71,212,2022-05-16,8,10921.04,1365.13
,,ca04e966ed,166,2022-05-16,7,8168.23,1166.89
,,4ddf2f8dce,218,2022-05-16,6,7164.18,1194.03
,,f9a95c46c3,211,2022-05-16,9,7821.27,869.03
PUR-ORD-2023-00867,ELECTRON0001,51f0986b9f,241,2022-09-07,1,1535.62,1535.62
,,0104b7d46f,242,2022-09-07,1,1519.85,1519.85
,,d9003ad409,243,2022-09-07,1,1225.59,1225.59
PUR-ORD-2023-00866,ELECTRON0001,4bedb005b2,98,2022-12-22,2,3562.94,1781.47
,,f5d8a7abd4,102,2022-12-22,3,5171.49,1723.83
,,41a5a5fadf,159,2022-12-22,9,13493.34,1499.26
,,26c331b8c3,160,2022-12-22,5,7701.75,1540.35
